entity1,relation,entity2,merged_sentence,label
Tornado,can scale to,open connections,tornado can scale to open connections,T
web framework,build,web applications,web framework build web applications,T
the emerging WSGI standard,allows,extensive re-use,the emerging wsgi standard allows extensive re-use,T
TurboGears,was created in,Kevin Dangoor,turbogears was created in kevin dangoor,T
Falcon,encourages,architectural style,falcon encourages architectural style,T
Kivy,supports,multiple platforms,kivy supports multiple platforms,T
Kivy,comes with over,20 widgets,kivy comes with over 20 widgets,T
PyQT,is available for,Sharp Zaurus,pyqt is available for sharp zaurus,T
PyQT,is available for,Linux,pyqt is available for linux,T
PyQT,is available for,Windows,pyqt is available for windows,T
PyQT,is available for,Mac OS X,pyqt is available for mac os x,T
Tkinter,is commonly bundled with,Python,tkinter is commonly bundled with python,T
Tkinter,is popular for,graphical user interface,tkinter is popular for graphical user interface,T
SciPy,includes,algorithms,scipy includes algorithms,T
SciPy,includes,tools,scipy includes tools,T
SciPy,is closely related to,NumPy,scipy is closely related to numpy,T
SciPy,depends on,many NumPy functions,scipy depends on many numpy functions,T
matplotlib,provides,API,matplotlib provides api,T
matplotlib,provides,applications,matplotlib provides applications,T
Pandas,integrates,matplotlib's plotting capabilities,pandas integrates matplotlib's plotting capabilities,T
Pandas,integrates,many other libraries' features,pandas integrates many other libraries' features,T
Pandas,integrates,NumPy's matrix operations,pandas integrates numpy's matrix operations,T
Theano,features,automatic differentiation,theano features automatic differentiation,T
Theano,supports,training,theano supports training,T
Theano,supports,testing,theano supports testing,T
Cython,makes,writing C extensions,cython makes writing c extensions,T
The original PHP project,invented by,Rasmus Lerdorf,the original php project invented by rasmus lerdorf,T
3v4l,act like,jsfiddle,3v4l act like jsfiddle,T
PHP Sandbox,act like,jsfiddle,php sandbox act like jsfiddle,T
codepad,act like,jsfiddle,codepad act like jsfiddle,T
The PEAR repository,is also possible to download,the documentation,the pear repository is also possible to download the documentation,T
PHP,is often paired with,relational database,php is often paired with relational database,T
PHP,includes,great database support,php includes great database support,T
PECL extensions,offer,NoSQL,pecl extensions offer nosql,T
Packagist,contain many of,popular PHP libraries,packagist contain many of popular php libraries,T
Android,is designed primarily for,mobile devices,android is designed primarily for mobile devices,T
Google,has further developed,Android TV,google has further developed android tv,T
Google,has further developed,televisions,google has further developed televisions,T
butterknife otto picassogreendao Android Developers,Contains,the SDK downloads,butterknife otto picassogreendao android developers contains the sdk downloads,T
butterknife otto picassogreendao Android Developers,Contains,class reference,butterknife otto picassogreendao android developers contains class reference,T
butterknife otto picassogreendao Android Developers,Contains,tutorials,butterknife otto picassogreendao android developers contains tutorials,T
Android Open Source Project,Contains,all necessary information,android open source project contains all necessary information,T
Google developer conference,Contains,videos,google developer conference contains videos,T
Google developer conference,Contains,slides,google developer conference contains slides,T
Google developer conference,Contains,videos,google developer conference contains videos,T
Google developer conference,Contains,slides,google developer conference contains slides,T
Android,be found on,the Android Developer site,android be found on the android developer site,T
HTML,was invented by,Lee,html was invented by lee,T
HTML Tags,were first publicly mentioned by,Lee,html tags were first publicly mentioned by lee,T
HTML Tags,borrowed,documentation standard,html tags borrowed documentation standard,T
HTML elements,form,the building blocks,html elements form the building blocks,T
HTML,allows,images,html allows images,T
HTML,allows,objects,html allows objects,T
HTML,can be used to create,interactive forms,html can be used to create interactive forms,T
HTML,create,structured documents,html create structured documents,T
HTML,can embed,scripts,html can embed scripts,T
HTML standards,are maintained by,Wide Web Consortium,html standards are maintained by wide web consortium,T
HTML markups,are designed,CSS,html markups are designed css,T
jQuery,simplifies,HTML document traversal,jquery simplifies html document traversal,T
jQuery,simplifies,manipulation,jquery simplifies manipulation,T
jQuery,simplifies,event handling,jquery simplifies event handling,T
jQuery,simplifies,AJAX,jquery simplifies ajax,T
jQuery,supports,Internet Explorer version,jquery supports internet explorer version,T
jQuery,supports,mobile browser,jquery supports mobile browser,T
C++,was developed in,the early 1980s,c++ was developed in the early 1980s,T
C++,was developed in,Bjarne Stroustrup,c++ was developed in bjarne stroustrup,T
C++ improved type,improved,safety,c++ improved type improved safety,T
C++ Compiler,optimized,numerical computations,c++ compiler optimized numerical computations,T
the C++ Committee,published,the first international standard,the c++ committee published the first international standard,T
adding coroutines GCC C++20 language support,add,command line parameter,adding coroutines gcc c++20 language support add command line parameter,T
Clang C++20 language support,add,command line parameter,clang c++20 language support add command line parameter,T
Complex selectors,can be created by joining,multiple simple ones,complex selectors can be created by joining multiple simple ones,T
OS,is one of,IBM's operating systems,os is one of ibm's operating systems,T
OS,is one of,IBM's operating systems,os is one of ibm's operating systems,T
iOS 14.4 beta,released on,December,ios 14.4 beta released on december,T
OS X,is based on,OS foundation,os x is based on os foundation,T
Each iOS application,own,secure sandbox,each ios application own secure sandbox,T
an iOS application,can have,extensions,an ios application can have extensions,T
iOS,is optimized for,graphics,ios is optimized for graphics,T
iOS,is optimized for,processor,ios is optimized for processor,T
iOS,is optimized for,memory constraints,ios is optimized for memory constraints,T
Interface control elements,consist of,sliders,interface control elements consist of sliders,T
Interface control elements,consist of,switches,interface control elements consist of switches,T
Interface control elements,consist of,buttons,interface control elements consist of buttons,T
Interaction,includes,gestures,interaction includes gestures,T
Internal accelerometers,can be used by,applications,internal accelerometers can be used by applications,T
gyroscopes,can be used by,applications,gyroscopes can be used by applications,T
Internal accelerometers,rotating,three dimensions,internal accelerometers rotating three dimensions,T
CocoaPods,includes,ten thousand libraries,cocoapods includes ten thousand libraries,T
CocoaPods,help,programmers scale projects,cocoapods help programmers scale projects,T
CocoaPods,does not store,a central list,cocoapods does not store a central list,T
MySQL source code,is available under,the GNU,mysql source code is available under the gnu,T
MySQL,offers,standard database driver connectivity,mysql offers standard database driver connectivity,T
standard SQL,is based on,relational algebra,standard sql is based on relational algebra,T
DDL,is used to create,tables,ddl is used to create tables,T
DDL,is used to create,constraints,ddl is used to create constraints,T
DML,is used to modify,data,dml is used to modify data,T
vendors,have implemented,dialects,vendors have implemented dialects,T
vendors,provide,functionality,vendors provide functionality,T
Oracle,use,standard SQL,oracle use standard sql,T
PostgreSQL,use,standard SQL,postgresql use standard sql,T
Microsoft SQL Server,uses,SQL,microsoft sql server uses sql,T
R,was created by,Ross Ihaka,r was created by ross ihaka,T
R,was created by,Robert Gentleman,r was created by robert gentleman,T
R,is now developed by,the R Development Core Team,r is now developed by the r development core team,T
The R environment,is easily extended through,the Comprehensive R Archive Network,the r environment is easily extended through the comprehensive r archive network,T
The R environment,is easily extended through,a packaging system,the r environment is easily extended through a packaging system,T
O runtime,uses,Google's V8 JavaScript engine,o runtime uses google's v8 javascript engine,T
O runtime,uses,libuv library,o runtime uses libuv library,T
Node.js,is often used for developing,developing applications,node.js is often used for developing developing applications,T
Node.js,supports,the CommonJS standard,node.js supports the commonjs standard,T
ASP.NET,is built on,the Common Language Runtime,asp.net is built on the common language runtime,T
ASP.NET,uses,a WebForms style,asp.net uses a webforms style,T
ASP.NET,includes,own controls library,asp.net includes own controls library,T
HTML helper methods,blend,HTML markup,html helper methods blend html markup,T
C,is distinct from,C++,c is distinct from c++,T
The C programming language,was based on,CPL.,the c programming language was based on cpl.,T
The C programming language,was based on,programming languages B,the c programming language was based on programming languages b,T
The C programming language,was based on,BCPL,the c programming language was based on bcpl,T
The C language,are standardized as,IEC,the c language are standardized as iec,T
C,was designed for implementing,implementing system software,c was designed for implementing implementing system software,T
A draft version N2176,is also widely used for developing,portable application software,a draft version n2176 is also widely used for developing portable application software,T
C,has greatly influenced,many other popular programming languages,c has greatly influenced many other popular programming languages,T
assembly language,was designed to encourage,level capabilities,assembly language was designed to encourage level capabilities,T
assembly language,was designed to encourage,cross-platform programming,assembly language was designed to encourage cross-platform programming,T
C program,can be compiled for,wide variety,c program can be compiled for wide variety,T
assembly language,has become available on,microcontrollers,assembly language has become available on microcontrollers,T
Ruby,follows,the popular MVC framework model,ruby follows the popular mvc framework model,T
Ruby,is known for,Rails,ruby is known for rails,T
the MVC Architectural Design Pattern,separates,web applications,the mvc architectural design pattern separates web applications,T
Ruby,is based on,the MVC Architectural Design Pattern,ruby is based on the mvc architectural design pattern,T
JSON,using,a JSON validator,json using a json validator,T
JSON,is defined by,RFC,json is defined by rfc,T
Microsoft SQL Server,originated from,Microsoft SQL Server 4.x codebase,microsoft sql server originated from microsoft sql server 4.x codebase,T
Standard components,include,schedulers,standard components include schedulers,T
Standard components,include,database language,standard components include database language,T
Standard components,include,replication,standard components include replication,T
Standard components,include,storage server,standard components include storage server,T
Standard components,include,developer tools,standard components include developer tools,T
Standard components,include,ETL tools,standard components include etl tools,T
SQL Server Express,has reduced,engine performance,sql server express has reduced engine performance,T
SQL Server Express,has reduced,capacity,sql server express has reduced capacity,T
SQL Server Express,is focused on,runs,sql server express is focused on runs,T
SQL Server Express,is focused on,an NT service,sql server express is focused on an nt service,T
SQL Server Express,is focused on,small deployments,sql server express is focused on small deployments,T
SQL Server Compact Edition,focused on,small installations,sql server compact edition focused on small installations,T
SQL Server Compact Edition,focused on,desktop applications,sql server compact edition focused on desktop applications,T
React,has since been made,open source,react has since been made open source,T
a virtual DOM diff implementation,render on,the server using node.js,a virtual dom diff implementation render on the server using node.js,T
reactive data flow using props,reduce,boilerplate,reactive data flow using props reduce boilerplate,T
Swift,distributed as,open source,swift distributed as open source,T
Swift,promises to modernize,the developer experience,swift promises to modernize the developer experience,T
The Swift syntax,retains,some elements,the swift syntax retains some elements,T
Swift applications,compile into,standard binaries,swift applications compile into standard binaries,T
Swift applications,can be run on,OS X,swift applications can be run on os x,T
Swift,was introduced by,Apple,swift was introduced by apple,T
Swift,was introduced by,WWDC,swift was introduced by wwdc,T
Swift,was introduced by,Apple,swift was introduced by apple,T
Swift,was introduced by,WWDC,swift was introduced by wwdc,T
Swift,will come to,non-Apple platforms,swift will come to non-apple platforms,T
Swift,was introduced by,Apple,swift was introduced by apple,T
Swift,was introduced by,WWDC,swift was introduced by wwdc,T
Swift,was introduced by,Apple,swift was introduced by apple,T
Swift,was introduced by,WWDC,swift was introduced by wwdc,T
Swift,was introduced with,Xcode,swift was introduced with xcode,T
Swift,was introduced with,Xcode,swift was introduced with xcode,T
Swift,was introduced with,Xcode,swift was introduced with xcode,T
Swift,was introduced with,Xcode,swift was introduced with xcode,T
C,was created primarily by,the early 1980s,c was created primarily by the early 1980s,T
C,was created primarily by,company Stepstone,c was created primarily by company stepstone,T
C,was created primarily by,Brad Cox,c was created primarily by brad cox,T
C,was created primarily by,Tom Love,c was created primarily by tom love,T
C,adds,defining classes,c adds defining classes,T
C,adds,object literals,c adds object literals,T
C,derives,C object syntax,c derives c object syntax,T
C,derives,Smalltalk,c derives smalltalk,T
Python,features,simplifications,python features simplifications,T
Python,features,improvements,python features improvements,T
Python,is strongly recommended for,any new development,python is strongly recommended for any new development,T
Django,is designed to reduce,the effort,django is designed to reduce the effort,T
Django,is designed to reduce,redundancy,django is designed to reduce redundancy,T
Django,follows,architectural pattern,django follows architectural pattern,T
AngularJS,is used internally by,Google,angularjs is used internally by google,T
Pipes,are used for transforming,transforming values,pipes are used for transforming transforming values,T
Pipes,are used for transforming,one form,pipes are used for transforming one form,T
Angular versioning,follows,Semantic Versioning principles,angular versioning follows semantic versioning principles,T
General help regarding MS Excel,is available at,Super User,general help regarding ms excel is available at super user,T
MS Excel,features,Visual Basic,ms excel features visual basic,T
Regular expressions,provide,a declarative language,regular expressions provide a declarative language,T
Regular expressions,are commonly used for,string validation,regular expressions are commonly used for string validation,T
Regular expressions,are commonly used for,transformation,regular expressions are commonly used for transformation,T
the canonical post,contains,links,the canonical post contains links,T
Regular expressions,are available in,programming languages,regular expressions are available in programming languages,T
Regular expressions,are available in,dialects,regular expressions are available in dialects,T
Regular expressions,are available in,processing tools,regular expressions are available in processing tools,T
BRE,will need,backslashes,bre will need backslashes,T
Regular expressions,are useful in,a wide variety,regular expressions are useful in a wide variety,T
Google,offers,re2,google offers re2,T
Google,does not backtrack,linear runtime growth,google does not backtrack linear runtime growth,T
Native iOS applications,are written in,C,native ios applications are written in c,T
Native iOS applications,are written in,Swift,native ios applications are written in swift,T
Native iOS applications,are written in,C,native ios applications are written in c,T
Native iOS applications,are written in,Swift,native ios applications are written in swift,T
Native iOS applications,using,the Cocoa Touch frameworks,native ios applications using the cocoa touch frameworks,T
Native iOS applications,using,the Cocoa Touch frameworks,native ios applications using the cocoa touch frameworks,T
the Cocoa Touch frameworks,share,many classes,the cocoa touch frameworks share many classes,T
the Cocoa Touch frameworks,share,features,the cocoa touch frameworks share features,T
the Cocoa Touch frameworks,are distinct from,Cocoa,the cocoa touch frameworks are distinct from cocoa,T
Cocoa,is used exclusively for,macOS development,cocoa is used exclusively for macos development,T
The iPhone,has,several hardware features,the iphone has several hardware features,T
The iPhone,has,sensors,the iphone has sensors,T
The iPhone,use,the Cocoa Touch frameworks,the iphone use the cocoa touch frameworks,T
iPod touch applications,use,the Cocoa Touch frameworks,ipod touch applications use the cocoa touch frameworks,T
The iPhone,are developed using,the Xcode IDE,the iphone are developed using the xcode ide,T
The iPhone,use,the Cocoa Touch frameworks,the iphone use the cocoa touch frameworks,T
Ruby,was initially conceived on,Yukihiro Matsumoto,ruby was initially conceived on yukihiro matsumoto,T
AJAX,uses,asynchronous data exchange,ajax uses asynchronous data exchange,T
Each HTML request,would provide,additional information,each html request would provide additional information,T
Each HTML request,would provide,additional information,each html request would provide additional information,T
Each HTML request,would provide,data,each html request would provide data,T
Each HTML request,would provide,data,each html request would provide data,T
ajax,is supported by,all modern browsers,ajax is supported by all modern browsers,T
X,stands for,xml,x stands for xml,T
json,has replaced,xml,json has replaced xml,T
json,has replaced,the data interchange format,json has replaced the data interchange format,T
JavaScript,parses,text,javascript parses text,T
XML,must be parsed by,cumbersome set,xml must be parsed by cumbersome set,T
the common Unix tools,carry,many basic operating system tasks,the common unix tools carry many basic operating system tasks,T
XML,is defined in,the XML 1.0 Specification,xml is defined in the xml 1.0 specification,T
XML,allows creating,custom tags,xml allows creating custom tags,T
XML,is also used in,some protocols,xml is also used in some protocols,T
Schemas,are usually defined with,an external namespace,schemas are usually defined with an external namespace,T
XML,define,tags,xml define tags,T
XML,is forward compatible with,the Unicode standard,xml is forward compatible with the unicode standard,T
Pandas,is implemented primarily using,using NumPy,pandas is implemented primarily using using numpy,T
Pandas,is implemented primarily using,Cython,pandas is implemented primarily using cython,T
The ASP.NET MVC Framework,provides,creating Web applications,the asp.net mvc framework provides creating web applications,T
The ASP.NET MVC Framework,has become,WebForms,the asp.net mvc framework has become webforms,T
Microsoft,has shipped,the ASP.NET MVC 4 release,microsoft has shipped the asp.net mvc 4 release,T
Microsoft,has shipped,the Nuget package management system,microsoft has shipped the nuget package management system,T
Microsoft,has shipped,the ASP.NET MVC 4 release,microsoft has shipped the asp.net mvc 4 release,T
Microsoft,has shipped,the Nuget package management system,microsoft has shipped the nuget package management system,T
MVC3,applies to,MVC4,mvc3 applies to mvc4,T
MVC3,applies to,MVC5.x,mvc3 applies to mvc5.x,T
VBA,is not equivalent to,VB.NET,vba is not equivalent to vb.net,T
VBA,is not equivalent to,VBS,vba is not equivalent to vbs,T
Visual Basic,was introduced to,Office,visual basic was introduced to office,T
Visual Basic,was introduced to,Access,visual basic was introduced to access,T
Visual Basic,was introduced to,PowerPoint,visual basic was introduced to powerpoint,T
Visual Basic,was introduced to,Word,visual basic was introduced to word,T
VBA,derives from,the classic Visual Basic programming language,vba derives from the classic visual basic programming language,T
VBA,create,independent executables,vba create independent executables,T
VBA,create,DLLs,vba create dlls,T
VBA,create,classic VB,vba create classic vb,T
VBA,includes,a myriad,vba includes a myriad,T
VBA,address,bit version,vba address bit version,T
Applications using VBA,must address,compatibility,applications using vba must address compatibility,T
Applications using VBA,must address,safe issues,applications using vba must address safe issues,T
VBA,was removed from,Office,vba was removed from office,T
VBA,was removed from,Mac,vba was removed from mac,T
VBA,is supported only in,the desktop application versions,vba is supported only in the desktop application versions,T
VBA,inherits much of,the BASIC programming language,vba inherits much of the basic programming language,T
The Spring Framework,complements,the Java EE APIs,the spring framework complements the java ee apis,T
The Spring Framework,reduces,boilerplate code,the spring framework reduces boilerplate code,T
Spring,provides,the application domain,spring provides the application domain,T
An atomic system,must guarantee,atomicity,an atomic system must guarantee atomicity,T
b2,used,PHP,b2 used php,T
b2,used,MySQL,b2 used mysql,T
Laravel,created by,Taylor Otwell,laravel created by taylor otwell,T
Laravel,intended for,the development,laravel intended for the development,T
MVC framework,released under,The MIT License,mvc framework released under the mit license,T
String representations,vary widely in,the features String representations,string representations vary widely in the features string representations,T
WPF runtime libraries,are included in,Windows Server,wpf runtime libraries are included in windows server,T
WPF,employs,XAML,wpf employs xaml,T
WPF applications,be deployed as,standalone desktop programs,wpf applications be deployed as standalone desktop programs,T
WPF,aims to unify,pre-rendered media,wpf aims to unify pre-rendered media,T
WPF,aims to unify,typography,wpf aims to unify typography,T
WPF,aims to unify,common user interface elements,wpf aims to unify common user interface elements,T
WPF,aims to unify,vector graphics,wpf aims to unify vector graphics,T
WPF,aims to unify,runtime animation,wpf aims to unify runtime animation,T
Microsoft,has released,six major WPF versions,microsoft has released six major wpf versions,T
WPF runtime libraries,will be provided by,Microsoft,wpf runtime libraries will be provided by microsoft,T
MongoDB,uses,the BSON format,mongodb uses the bson format,T
MongoDB,uses,storing data,mongodb uses storing data,T
MongoDB,uses,the MongoDB Wire Protocol,mongodb uses the mongodb wire protocol,T
Community Supported Drivers,offer,alternative implementations,community supported drivers offer alternative implementations,T
MongoDB server releases,can be installed via,common packaging systems,mongodb server releases can be installed via common packaging systems,T
TypeScript,was developed by,Microsoft,typescript was developed by microsoft,T
PostgreSQL,is developed by,the PostgreSQL Global Development Group,postgresql is developed by the postgresql global development group,T
Bash,offers,numerous additions,bash offers numerous additions,T
C shell,offers,functional improvements,c shell offers functional improvements,T
the KornShell,offers,functional improvements,the kornshell offers functional improvements,T
sh scripts,can be run by,Bash,sh scripts can be run by bash,T
Bash,was written by,Brian Fox,bash was written by brian fox,T
Linux installations,should be using,the 4.x family,linux installations should be using the 4.x family,T
NET,is one of,C#,net is one of c#,T
NET,is one of,F#,net is one of f#,T
NET,can be viewed as,an evolution,net can be viewed as an evolution,T
NET,can be viewed as,an evolution,net can be viewed as an evolution,T
NET,implemented on,Microsoft,net implemented on microsoft,T
NET,continues from,VB6,net continues from vb6,T
Microsoft,decided to drop,"the \\".NET","microsoft decided to drop the \\".net",T
Git,was initially designed,Linus Torvalds,git was initially designed linus torvalds,T
Git,was initially designed,linux kernel development,git was initially designed linux kernel development,T
Linus Torvalds,is maintained by,Junio Hamano,linus torvalds is maintained by junio hamano,T
Every Git working directory,contains,fledged repository,every git working directory contains fledged repository,T
Every Git working directory,contains,fledged repository,every git working directory contains fledged repository,T
Oracle Database,supports,a large number,oracle database supports a large number,T
threads,share,memory,threads share memory,T
threads,share,variables,threads share variables,T
a processor,can create,multiple threads,a processor can create multiple threads,T
Each thread,has,own stack,each thread has own stack,T
Each thread,has,variables,each thread has variables,T
Each thread,has,ID,each thread has id,T
Amdahl's law,governs,the diminishing amount,amdahl's law governs the diminishing amount,T
Eclipse IDE,used for,Java development,eclipse ide used for java development,T
Eclipse IDE,is built on,an OSGI implementation,eclipse ide is built on an osgi implementation,T
Eclipse,be used as,a development environment,eclipse be used as a development environment,T
the Eclipse CDT Project,provides,ins,the eclipse cdt project provides ins,T
the Eclipse CDT Project,provides,C++ development,the eclipse cdt project provides c++ development,T
the Eclipse CDT Project,create,C++ development environment,the eclipse cdt project create c++ development environment,T
the Eclipse CDT Project,supplies,ins,the eclipse cdt project supplies ins,T
the Eclipse CDT Project,supplies,developing Open web standards,the eclipse cdt project supplies developing open web standards,T
the Eclipse CDT Project,provides,a plugin,the eclipse cdt project provides a plugin,T
the Eclipse CDT Project,provides,PHP development,the eclipse cdt project provides php development,T
the Eclipse CDT Project,create,a PHP development environment,the eclipse cdt project create a php development environment,T
The popular commercial Zend Studio,is also based on,Eclipse IDE,the popular commercial zend studio is also based on eclipse ide,T
PyDev,provides,ins,pydev provides ins,T
PyDev,provides,Python development,pydev provides python development,T
the Eclipse CDT Project,provides,a plugin,the eclipse cdt project provides a plugin,T
the Eclipse CDT Project,provides,Perl development,the eclipse cdt project provides perl development,T
the Eclipse CDT Project,create,a Perl development environment,the eclipse cdt project create a perl development environment,T
Google,has ceased developing,the Android Development Tools,google has ceased developing the android development tools,T
Eclipse,is synonymous with,the Java IDE,eclipse is synonymous with the java ide,T
Amazon Web Services,are also accessible through,SOAP APIs,amazon web services are also accessible through soap apis,T
a good algorithm,may outperform,a poor algorithm,a good algorithm may outperform a poor algorithm,T
a good algorithm,may outperform,large datasets,a good algorithm may outperform large datasets,T
a good algorithm,may outperform,several orders,a good algorithm may outperform several orders,T
Algorithm performance,is often rated with,Big O,algorithm performance is often rated with big o,T
A key algorithm classification,is known as,Algorithm Complexity,a key algorithm classification is known as algorithm complexity,T
Swift,providing,providing user interface,swift providing providing user interface,T
Swift,providing,level services,swift providing level services,T
macOS,consists of,kernel,macos consists of kernel,T
Apple,purchased in,NeXT Inc.,apple purchased in next inc.,T
macOS,is based upon,the NeXTSTEP,macos is based upon the nextstep,T
macOS,is based upon,OpenStep operating systems,macos is based upon openstep operating systems,T
A web form element,is characterized by,the action,a web form element is characterized by the action,T
Images,are typically rendered as,a two dimensional matrix,images are typically rendered as a two dimensional matrix,T
Scala,fuses,functional programming styles,scala fuses functional programming styles,T
Scala,fuses,programming styles,scala fuses programming styles,T
General server help,can be obtained at,Super User,general server help can be obtained at super user,T
Microsoft,publishes,a comparison table,microsoft publishes a comparison table,T
Bootstrap,includes,base CSS,bootstrap includes base css,T
Bootstrap,includes,HTML,bootstrap includes html,T
Less,was replaced with,Sass,less was replaced with sass,T
Native React,runs,the JavaScript code,native react runs the javascript code,T
Native React,runs,a React app,native react runs a react app,T
Docker,been implemented on,MS Windows,docker been implemented on ms windows,T
Docker,builds,level API,docker builds level api,T
docker,runs in,Windows,docker runs in windows,T
docker,runs in,X,docker runs in x,T
docker,runs in,some variety,docker runs in some variety,T
Latency,is often qualified with,a statistical measure,latency is often qualified with a statistical measure,T
R,used in,SQL,r used in sql,T
R,used in,MATLAB,r used in matlab,T
scripting language,included with,Microsoft Windows,scripting language included with microsoft windows,T
scripting language,included with,Microsoft Windows Server 2008 R2,scripting language included with microsoft windows server 2008 r2,T
scripting language,included with,Microsoft Windows Server,scripting language included with microsoft windows server,T
scripting language,included with,Microsoft Windows,scripting language included with microsoft windows,T
scripting language,included with,Microsoft Windows Server,scripting language included with microsoft windows server,T
PowerShell,has,pattern matching,powershell has pattern matching,T
PowerShell,has,syntax,powershell has syntax,T
PowerShell,has,string expansion,powershell has string expansion,T
PowerShell,has,support,powershell has support,T
Windows PowerShell ISE,has,Unicode support,windows powershell ise has unicode support,T
Windows PowerShell ISE,is designed around,cmdlets,windows powershell ise is designed around cmdlets,T
Windows PowerShell ISE,is designed around,line shell,windows powershell ise is designed around line shell,T
Date,returns,the current date,date returns the current date,T
keywords,have,short aliases,keywords have short aliases,T
managing system,offer,PowerShell integration,managing system offer powershell integration,T
PowerShell,takes,the Unix idea,powershell takes the unix idea,T
Windows components,have been extended to provide,a system management environment,windows components have been extended to provide a system management environment,T
Microsoft products,have been extended to provide,a system management environment,microsoft products have been extended to provide a system management environment,T
PowerShell,enhances,piping,powershell enhances piping,T
Windows components,have been extended to provide,native PowerShell,windows components have been extended to provide native powershell,T
Microsoft products,have been extended to provide,native PowerShell,microsoft products have been extended to provide native powershell,T
parenthesis,separated,comma separated arguments,parenthesis separated comma separated arguments,T
NumPy,be used as,an efficient multi-dimensional container,numpy be used as an efficient multi-dimensional container,T
NumPy,be used as,obvious scientific uses,numpy be used as obvious scientific uses,T
NumPy,provides,efficient methods,numpy provides efficient methods,T
NumPy,integrates easily with,other methods,numpy integrates easily with other methods,T
NumPy,is released under,the BSD license,numpy is released under the bsd license,T
SQL syntax,does not guarantee,the domain integrity,sql syntax does not guarantee the domain integrity,T
SQLite,has,a simple implementation,sqlite has a simple implementation,T
SQLite,is commonly used to store,Windows Phone apps,sqlite is commonly used to store windows phone apps,T
the SQLite engine,has,no standalone processes,the sqlite engine has no standalone processes,T
the SQLite engine,has,server database management systems,the sqlite engine has server database management systems,T
ORM,provides,Relational Mapping,orm provides relational mapping,T
